"Unicode","Symbol","Category","Unicode name","ru","en","pl","fr","de","es","pt","it","ro","he","ar","tr","vi","nl","Missing localized names"
"U+2166","Ⅶ","math","roman numeral seven","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2167","Ⅷ","math","roman numeral eight","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2168","Ⅸ","math","roman numeral nine","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2169","Ⅹ","math","roman numeral ten","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+216A","Ⅺ","math","roman numeral eleven","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+216B","Ⅻ","math","roman numeral twelve","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+216C","Ⅼ","math","roman numeral fifty","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+216D","Ⅽ","math","roman numeral one hundred","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+216E","Ⅾ","math","roman numeral five hundred","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+216F","Ⅿ","math","roman numeral one thousand","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2170","ⅰ","math","small roman numeral one","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2171","ⅱ","math","small roman numeral two","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2172","ⅲ","math","small roman numeral three","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2173","ⅳ","math","small roman numeral four","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2174","ⅴ","math","small roman numeral five","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2175","ⅵ","math","small roman numeral six","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2176","ⅶ","math","small roman numeral seven","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2177","ⅷ","math","small roman numeral eight","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2178","ⅸ","math","small roman numeral nine","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2179","ⅹ","math","small roman numeral ten","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
